Sl.No.,Name of the Organization,Designation,Internship Stipend (Rs.P.M),"CTC
(Rs.In Lakhs)",Date of Results Announced,CSE,IT,CSE (AIML),AIML,AIDS,"CSE (IOT, CS&BCT)",ECE,EEE,MECH,CIVIL,CHEM,Bio- Tech
101,Aliens Group,Graduate Engineer Trainee,,4.0,20.02.2025,NA,NA,NA,NA,NA,NA,NA,0,0,1,NA,NA
102,Blackbucks,Teaching Assistant,15000,6.0,24.02.2025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
103,CtrlS&Cloud4C,Associate Engineer,,6.0,25.02.2025,NA,NA,NA,NA,NA,NA,NA,14,3,9,NA,NA
104,ThoughtSpot,Software Engineer,20000,11.0,26.02.2025,0,6,0,1,0,0,NA,NA,NA,NA,NA,NA
105,Century Plyboards (I) Ltd,Graduate Engineer Trainee,,4.5,03.03.2025,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA
106,Accelerize360,Tableau Developer,25000,12.0,12.03.2025,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA
107,Joyalukkas,Management Trainee,,5.0,12.03.2025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
108,Bharat Electronics Ltd (BEL),Engineer Assistant Trainee,,7.2,13.03.2025,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA
109,CloudAngles,Software Engineer Trainee,,5.0,20.03.2025,0,2,1,1,3,0,NA,NA,NA,NA,NA,NA
110,Randstad India Pvt Ltd,Territory Sales Officer,,4.0,28.03.2025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
111,Infosys,Digital Specialist Engineer,,6.3,28.03.2025,0,1,3,0,0,2,NA,NA,NA,NA,NA,NA
112,Jones Lang Lasalle (JLL),Asst. Manager,,5.3,01.04.2025,NA,NA,NA,NA,NA,NA,1,NA,0,2,NA,NA
113,Hetero Labs Ltd,Process Safety Junior Engineer,,3.0,09.04.2025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA
114,Godrej Enterprises Group,Graduate Engineer Trainee,40000,7.8,11.04.2025,NA,NA,NA,NA,NA,NA,1,4,3,1,NA,NA
115,Ascendion,Software Engineer,,5.0,14.04.2025,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA
116,Bharat Electronics Ltd (BEL),Fixed Term Engineer,,12.5,16.04.2025,NA,NA,NA,NA,NA,NA,5,NA,2,NA,NA,NA
117,Infinity Learn,Campus Ambassador,15000,3.5,16.04.2025,0,2,0,0,0,0,0,0,0,0,0,NA
118,Reliance Industries Ltd,Graduate Engineer Trainee,,7.5,21.04.2025,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,NA
119,Amazon,Software Development Engineer,,47.0,26.04.2025,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA
120,Ideagen,Trainee Software Engineer,,7.0,05.05.2025,1,1,0,0,0,1,NA,NA,NA,NA,NA,NA
121,Talent Trek E-Learning P Ltd,UG-Business Development Trainee,15000,6.0,06.05.2025,4,8,0,1,4,1,4,4,1,0,0,NA
122,Talent Trek E-Learning P Ltd,PG-Business Development Trainee,18000,8.0,06.05.2025,0,0,0,0,0,0,0,0,0,0,0,NA
